technology,hour,value
Wind,0,1.3
Wind,1,1.7
Wind,2,1.5
Wind,3,2.0
Wind,4,1.3
Wind,5,0.8
Wind,6,1.4
Wind,7,0.8
Wind,8,1.3
Wind,9,1.8
Wind,10,1.3
Wind,11,1.0
Wind,12,1.1
Wind,13,1.5
Wind,14,1.2
Wind,15,1.5
Wind,16,1.5
Wind,17,1.4
Wind,18,0.9
Wind,19,0.5
Wind,20,0.7
Wind,21,0.9
Wind,22,0.5
Wind,23,0.7
Wind,24,0.6
Wind,25,0.6
Wind,26,1.1
Wind,27,0.9
Wind,28,1.1
Wind,29,0.7
Wind,30,1.8
Wind,31,2.4
Wind,32,1.4
Wind,33,1.0
Wind,34,1.2
Wind,35,2.0
Wind,36,2.5
Wind,37,2.8
Wind,38,3.6
Wind,39,2.6
Wind,40,1.8
Wind,41,2.4
Wind,42,1.8
Wind,43,2.6
Wind,44,2.9
Wind,45,2.2
Wind,46,1.5
Wind,47,3.6
Wind,48,4.0
Wind,49,4.5
Wind,50,5.1
Wind,51,3.6
Wind,52,3.3
Wind,53,3.5
Wind,54,2.9
Wind,55,3.4
Wind,56,2.6
Wind,57,2.5
Wind,58,2.0
Wind,59,2.7
Wind,60,3.0
Wind,61,2.0
Wind,62,3.0
Wind,63,3.6
Wind,64,2.7
Wind,65,2.2
Wind,66,3.3
Wind,67,3.1
Wind,68,2.3
Wind,69,2.2
Wind,70,2.4
Wind,71,2.0
Wind,72,2.2
Wind,73,2.3
Wind,74,2.5
Wind,75,2.2
Wind,76,2.3
Wind,77,2.7
Wind,78,3.2
Wind,79,2.4
Wind,80,2.6
Wind,81,2.6
Wind,82,3.0
Wind,83,2.7
Wind,84,3.0
Wind,85,2.7
Wind,86,4.8
Wind,87,3.3
Wind,88,2.7
Wind,89,1.7
Wind,90,1.7
Wind,91,1.5
Wind,92,1.9
Wind,93,1.9
Wind,94,3.3
Wind,95,3.2
Wind,96,2.9
Wind,97,3.3
Wind,98,3.1
Wind,99,2.9
Wind,100,2.5
Wind,101,2.8
Wind,102,2.7
Wind,103,3.7
Wind,104,1.8
Wind,105,2.7
Wind,106,3.2
Wind,107,3.9
Wind,108,4.9
Wind,109,4.2
Wind,110,3.5
Wind,111,3.8
Wind,112,3.6
Wind,113,2.9
Wind,114,3.2
Wind,115,3.2
Wind,116,4.2
Wind,117,3.6
Wind,118,3.8
Wind,119,2.8
Wind,120,2.8
Wind,121,2.7
Wind,122,3.0
Wind,123,3.5
Wind,124,1.7
Wind,125,2.1
Wind,126,2.0
Wind,127,2.6
Wind,128,2.9
Wind,129,2.7
Wind,130,2.1
Wind,131,2.7
Wind,132,2.8
Wind,133,2.2
Wind,134,2.4
Wind,135,1.5
Wind,136,1.4
Wind,137,0.9
Wind,138,0.9
Wind,139,0.7
Wind,140,1.2
Wind,141,1.1
Wind,142,0.9
Wind,143,0.8
Wind,144,1.6
Wind,145,1.6
Wind,146,1.8
Wind,147,1.7
Wind,148,2.1
Wind,149,1.5
Wind,150,2.3
Wind,151,2.8
Wind,152,3.3
Wind,153,3.5
Wind,154,3.3
Wind,155,3.5
Wind,156,2.9
Wind,157,2.6
Wind,158,2.7
Wind,159,2.5
Wind,160,2.2
Wind,161,2.4
Wind,162,2.4
Wind,163,2.6
Wind,164,2.0
Wind,165,2.6
Wind,166,3.3
Wind,167,2.1
Wind,168,1.9
Wind,169,2.0
Wind,170,2.3
Wind,171,3.2
Wind,172,2.3
Wind,173,2.9
Wind,174,3.2
Wind,175,2.5
Wind,176,0.9
Wind,177,1.2
Wind,178,2.2
Wind,179,2.8
Wind,180,2.4
Wind,181,2.7
Wind,182,1.9
Wind,183,1.5
Wind,184,1.8
Wind,185,2.1
Wind,186,2.6
Wind,187,3.1
Wind,188,3.2
Wind,189,3.9
Wind,190,4.4
Wind,191,5.0
Wind,192,5.5
Wind,193,5.3
Wind,194,4.8
Wind,195,5.1
Wind,196,4.7
Wind,197,4.5
Wind,198,3.7
Wind,199,3.9
Wind,200,3.0
Wind,201,3.5
Wind,202,4.5
Wind,203,4.5
Wind,204,4.3
Wind,205,2.8
Wind,206,1.8
Wind,207,2.0
Wind,208,2.3
Wind,209,1.8
Wind,210,2.0
Wind,211,1.5
Wind,212,0.9
Wind,213,0.8
Wind,214,1.6
Wind,215,1.1
Wind,216,0.6
Wind,217,0.8
Wind,218,0.7
Wind,219,0.8
Wind,220,0.5
Wind,221,0.5
Wind,222,0.8
Wind,223,0.5
Wind,224,1.1
Wind,225,1.1
Wind,226,0.9
Wind,227,1.6
Wind,228,1.4
Wind,229,1.9
Wind,230,1.8
Wind,231,1.5
Wind,232,1.3
Wind,233,1.1
Wind,234,0.6
Wind,235,1.0
Wind,236,0.6
Wind,237,0.8
Wind,238,1.3
Wind,239,1.2
Wind,240,1.0
Wind,241,1.2
Wind,242,1.4
Wind,243,1.0
Wind,244,1.1
Wind,245,0.8
Wind,246,0.8
Wind,247,1.4
Wind,248,1.0
Wind,249,1.5
Wind,250,1.3
Wind,251,1.2
Wind,252,0.7
Wind,253,0.8
Wind,254,1.5
Wind,255,1.6
Wind,256,0.6
Wind,257,0.7
Wind,258,0.7
Wind,259,0.5
