technology,hour,value
Power,0,51864.2055
Power,1,50398.28925
Power,2,53593.48475
Power,3,59881.71925
Power,4,61907.13425
Power,5,64758.65875
Power,6,63667.41475
Power,7,62232.49975
Power,8,61393.39925
Power,9,58792.83725
Power,10,65273.2795
Power,11,64996.63025
Power,12,67078.43800000001
Power,13,68571.22200000001
Power,14,63467.235250000005
Power,15,57747.9475
Power,16,63070.7145
Power,17,65649.13275
Power,18,66316.10250000001
Power,19,68957.70425000001
Power,20,70728.02325
Power,21,66338.83675
Power,22,57468.050500000005
Power,23,58560.180250000005
Power,24,65393.44625
Power,25,66222.213
Power,26,68135.72825
Power,27,68783.802
Power,28,65052.727750000005
Power,29,59364.7365
Power,30,61924.84925
Power,31,66625.81975000001
Power,32,68150.1955
Power,33,65644.704
Power,34,63244.61675
Power,35,64363.02375
Power,36,61250.203
Power,37,61810.88275
Power,38,67352.43000000001
Power,39,66278.901
Power,40,64030.8675
Power,41,65100.55825
Power,42,62955.567
Power,43,60235.1335
Power,44,62250.21475
Power,45,65066.89975
Power,46,66711.147
Power,47,66742.44350000001
Power,48,64959.724
Power,49,61538.367000000006
Power,50,58256.07275
Power,51,60233.9525
Power,52,66614.60025
Power,53,65460.468
Power,54,66502.40525
Power,55,67342.09625
Power,56,63942.587750000006
Power,57,57591.16975
Power,58,59181.091
Power,59,66331.75075
Power,60,63267.9415
Power,61,63237.2355
Power,62,63348.249500000005
Power,63,63304.84775
Power,64,56281.145500000006
Power,65,58186.0985
Power,66,63434.4625
Power,67,62200.02225
Power,68,62139.496
Power,69,64850.776750000005
Power,70,61776.338500000005
Power,71,55198.46375
Power,72,57195.83
Power,73,60028.4585
Power,74,59831.526750000005
Power,75,63222.17775
Power,76,60608.920000000006
Power,77,59910.3585
Power,78,55743.7905
Power,79,49053.72075
Power,80,49027.148250000006
Power,81,51582.24175
Power,82,57220.631
Power,83,59690.692500000005
Power,84,63318.134000000005
Power,85,61800.25375
Power,86,59678.8825
Power,87,58918.909
Power,88,57017.20375
Power,89,63403.46125
Power,90,63379.546
Power,91,65240.211500000005
Power,92,66013.47125
Power,93,61503.23225
Power,94,55830.88925
Power,95,61456.878
Power,96,63874.385
Power,97,65604.84525
Power,98,67043.89375
Power,99,68734.2
Power,100,64333.498750000006
Power,101,55276.40975
Power,102,57048.7955
