technology,hour,value
Heat,0,20745.682200000003
Heat,1,20159.315700000003
Heat,2,21437.393900000003
Heat,3,23952.687700000002
Heat,4,24762.853700000003
Heat,5,25903.4635
Heat,6,25466.965900000003
Heat,7,24892.999900000003
Heat,8,24557.3597
Heat,9,23517.134900000005
Heat,10,26109.311800000003
Heat,11,25998.652100000003
Heat,12,26831.375200000006
Heat,13,27428.488800000006
Heat,14,25386.894100000005
Heat,15,23099.179000000004
Heat,16,25228.2858
Heat,17,26259.653100000003
Heat,18,26526.441000000006
Heat,19,27583.081700000006
Heat,20,28291.209300000002
Heat,21,26535.534700000004
Heat,22,22987.220200000003
Heat,23,23424.072100000005
Heat,24,26157.378500000003
Heat,25,26488.885200000004
Heat,26,27254.2913
Heat,27,27513.5208
Heat,28,26021.091100000005
Heat,29,23745.8946
Heat,30,24769.939700000003
Heat,31,26650.327900000004
Heat,32,27260.078200000004
Heat,33,26257.8816
Heat,34,25297.846700000002
Heat,35,25745.2095
Heat,36,24500.0812
Heat,37,24724.353100000004
Heat,38,26940.972000000005
Heat,39,26511.560400000002
Heat,40,25612.347
Heat,41,26040.2233
Heat,42,25182.226800000004
Heat,43,24094.053400000004
Heat,44,24900.085900000002
Heat,45,26026.759900000005
Heat,46,26684.4588
Heat,47,26696.977400000003
Heat,48,25983.889600000002
Heat,49,24615.346800000003
Heat,50,23302.4291
Heat,51,24093.581000000002
Heat,52,26645.8401
Heat,53,26184.1872
Heat,54,26600.9621
Heat,55,26936.8385
Heat,56,25577.035100000005
Heat,57,23036.467900000003
Heat,58,23672.436400000002
Heat,59,26532.700300000004
Heat,60,25307.176600000003
Heat,61,25294.894200000002
Heat,62,25339.299800000004
Heat,63,25321.939100000003
Heat,64,22512.458200000005
Heat,65,23274.439400000003
Heat,66,25373.785000000003
Heat,67,24880.0089
Heat,68,24855.7984
Heat,69,25940.3107
Heat,70,24710.535400000004
Heat,71,22079.385500000004
Heat,72,22878.332000000002
Heat,73,24011.383400000002
Heat,74,23932.610700000005
Heat,75,25288.871100000004
Heat,76,24243.568000000003
Heat,77,23964.1434
Heat,78,22297.516200000002
Heat,79,19621.4883
Heat,80,19610.859300000004
Heat,81,20632.8967
Heat,82,22888.2524
Heat,83,23876.277000000002
Heat,84,25327.253600000004
Heat,85,24720.101500000004
Heat,86,23871.553
Heat,87,23567.5636
Heat,88,22806.881500000003
Heat,89,25361.3845
Heat,90,25351.818400000004
Heat,91,26096.084600000002
Heat,92,26405.3885
Heat,93,24601.2929
Heat,94,22332.3557
Heat,95,24582.751200000002
Heat,96,25549.754
Heat,97,26241.9381
Heat,98,26817.557500000003
Heat,99,27493.68
Heat,100,25733.399500000003
Heat,101,22110.5639
Heat,102,22819.518200000002
Heat,103,25330.088000000003
Heat,104,25797.764000000003
Heat,105,26709.614100000003
Heat,106,26632.612900000004
Heat,107,25067.3155
Heat,108,22633.510700000003
Heat,109,24035.2396
Heat,110,26110.0204
Heat,111,26132.1051
Heat,112,25459.053200000002
Heat,113,24577.436700000002
Heat,114,24961.143600000003
Heat,115,23563.548200000005
Heat,116,24306.751500000002
Heat,117,26186.9035
Heat,118,25597.820700000004
Heat,119,24750.0989
Heat,120,25225.8057
Heat,121,24588.183800000003
Heat,122,23383.327600000004
Heat,123,24219.8299
