technology,hour,value
Mobility,0,31118.5233
Mobility,1,30238.97355
Mobility,2,32156.09085
Mobility,3,35929.03155
Mobility,4,37144.28055
Mobility,5,38855.19525
Mobility,6,38200.44885
Mobility,7,37339.49985
Mobility,8,36836.03955
Mobility,9,35275.70235
Mobility,10,39163.9677
Mobility,11,38997.97815
Mobility,12,40247.06280000001
Mobility,13,41142.7332
Mobility,14,38080.34115
Mobility,15,34648.7685
Mobility,16,37842.4287
Mobility,17,39389.47965
Mobility,18,39789.6615
Mobility,19,41374.62255000001
Mobility,20,42436.813949999996
Mobility,21,39803.30205
Mobility,22,34480.8303
Mobility,23,35136.10815
Mobility,24,39236.06775
Mobility,25,39733.3278
Mobility,26,40881.436949999996
Mobility,27,41270.2812
Mobility,28,39031.63665
Mobility,29,35618.8419
Mobility,30,37154.90955
Mobility,31,39975.491850000006
Mobility,32,40890.1173
Mobility,33,39386.8224
Mobility,34,37946.77005
Mobility,35,38617.814249999996
Mobility,36,36750.1218
Mobility,37,37086.529650000004
Mobility,38,40411.458000000006
Mobility,39,39767.340599999996
Mobility,40,38418.5205
Mobility,41,39060.33495
Mobility,42,37773.3402
Mobility,43,36141.0801
Mobility,44,37350.12885
Mobility,45,39040.13985
Mobility,46,40026.6882
Mobility,47,40045.466100000005
Mobility,48,38975.8344
Mobility,49,36923.0202
Mobility,50,34953.64365
Mobility,51,36140.3715
Mobility,52,39968.76015
Mobility,53,39276.2808
Mobility,54,39901.44315
Mobility,55,40405.25775
Mobility,56,38365.552650000005
Mobility,57,34554.70185
Mobility,58,35508.6546
Mobility,59,39799.05045
Mobility,60,37960.7649
Mobility,61,37942.3413
Mobility,62,38008.949700000005
Mobility,63,37982.90865
Mobility,64,33768.687300000005
Mobility,65,34911.6591
Mobility,66,38060.6775
Mobility,67,37320.01335
Mobility,68,37283.6976
Mobility,69,38910.46605
Mobility,70,37065.803100000005
Mobility,71,33119.07825
Mobility,72,34317.498
Mobility,73,36017.0751
Mobility,74,35898.91605
Mobility,75,37933.30665
Mobility,76,36365.352
Mobility,77,35946.2151
Mobility,78,33446.2743
Mobility,79,29432.23245
Mobility,80,29416.288950000002
Mobility,81,30949.34505
Mobility,82,34332.3786
Mobility,83,35814.4155
Mobility,84,37990.8804
Mobility,85,37080.15225
Mobility,86,35807.3295
Mobility,87,35351.3454
Mobility,88,34210.32225
Mobility,89,38042.07675
Mobility,90,38027.7276
Mobility,91,39144.1269
Mobility,92,39608.08275
Mobility,93,36901.93935
Mobility,94,33498.53355
Mobility,95,36874.1268
Mobility,96,38324.631
Mobility,97,39362.90715
Mobility,98,40226.33625
Mobility,99,41240.52
Mobility,100,38600.09925
Mobility,101,33165.84585
Mobility,102,34229.2773
Mobility,103,37995.132
Mobility,104,38696.646
Mobility,105,40064.42115
Mobility,106,39948.919350000004
Mobility,107,37600.973249999995
Mobility,108,33950.26605
Mobility,109,36052.8594
Mobility,110,39165.0306
Mobility,111,39198.15765
Mobility,112,38188.5798
Mobility,113,36866.15505
Mobility,114,37441.7154
Mobility,115,35345.3223
Mobility,116,36460.12725
Mobility,117,39280.35525
Mobility,118,38396.73105
Mobility,119,37125.148349999996
Mobility,120,37838.708549999996
Mobility,121,36882.2757
Mobility,122,35074.9914
Mobility,123,36329.744849999995
Mobility,124,38044.3797
Mobility,125,38849.7036
Mobility,126,38479.1058
Mobility,127,37669.5303
Mobility,128,35573.491500000004
Mobility,129,33176.652
Mobility,130,35590.4979
Mobility,131,38789.8269
Mobility,132,37684.942350000005
Mobility,133,38673.9708
Mobility,134,38902.4943
Mobility,135,36369.42645
Mobility,136,33265.9356
Mobility,137,34598.4579
Mobility,138,38993.5494
Mobility,139,36729.2181
Mobility,140,36816.19875
Mobility,141,37112.2164
Mobility,142,36645.9576
Mobility,143,32504.722049999997
Mobility,144,33948.14025
Mobility,145,37039.05345
Mobility,146,36443.298
Mobility,147,36025.224
Mobility,148,37934.36955
Mobility,149,35588.19495
Mobility,150,31889.1258
Mobility,151,33056.8986
Mobility,152,34909.5333
Mobility,153,34657.2717
Mobility,154,36834.4452
Mobility,155,35312.7267
Mobility,156,34328.304149999996
Mobility,157,32006.3991
Mobility,158,28684.65945
Mobility,159,28907.691300000002
Mobility,160,30190.9659
Mobility,161,33766.73865
Mobility,162,35187.83595
Mobility,163,37240.1187
Mobility,164,36433.3776
Mobility,165,35152.40595
Mobility,166,34431.40545
Mobility,167,33984.278849999995
Mobility,168,37753.1451
Mobility,169,37490.254499999995
Mobility,170,38810.19915
Mobility,171,39210.558150000004
Mobility,172,36236.3868
Mobility,173,32874.96555
Mobility,174,36538.2504
Mobility,175,37211.24325
Mobility,176,38614.97985
Mobility,177,39578.67585000001
Mobility,178,40509.06765
Mobility,179,37540.74225
Mobility,180,32446.4397
Mobility,181,33910.93875
Mobility,182,37653.5868
Mobility,183,38429.8581
Mobility,184,39859.4586
Mobility,185,39279.1152
Mobility,186,36718.76625
Mobility,187,33128.99865
Mobility,188,35889.5271
Mobility,189,38752.979699999996
Mobility,190,38650.587
