technology,hour,value
SolarPV,0,0
SolarPV,1,0
SolarPV,2,0
SolarPV,3,0
SolarPV,4,0
SolarPV,5,0
SolarPV,6,0
SolarPV,7,0
SolarPV,8,0
SolarPV,9,0
SolarPV,10,0
SolarPV,11,0
SolarPV,12,0
SolarPV,13,0
SolarPV,14,0
SolarPV,15,0
SolarPV,16,0
SolarPV,17,0
SolarPV,18,0
SolarPV,19,0
SolarPV,20,0
SolarPV,21,0
SolarPV,22,0
SolarPV,23,0
SolarPV,24,0
SolarPV,25,0
SolarPV,26,0
SolarPV,27,0
SolarPV,28,0
SolarPV,29,0
SolarPV,30,0
SolarPV,31,0
SolarPV,32,0
SolarPV,33,0
SolarPV,34,0
SolarPV,35,0
SolarPV,36,0
SolarPV,37,0
SolarPV,38,0
SolarPV,39,0
SolarPV,40,0
SolarPV,41,0
SolarPV,42,0
SolarPV,43,0
SolarPV,44,0
SolarPV,45,0
SolarPV,46,0
SolarPV,47,0
SolarPV,48,0
SolarPV,49,0
SolarPV,50,0
SolarPV,51,0
SolarPV,52,0
SolarPV,53,0
SolarPV,54,0
SolarPV,55,0
SolarPV,56,0
SolarPV,57,0
SolarPV,58,0
SolarPV,59,14
SolarPV,60,1
SolarPV,61,3
SolarPV,62,1
SolarPV,63,0
SolarPV,64,0
SolarPV,65,0
SolarPV,66,0
SolarPV,67,0
SolarPV,68,0
SolarPV,69,0
SolarPV,70,0
SolarPV,71,0
SolarPV,72,0
SolarPV,73,0
SolarPV,74,0
SolarPV,75,0
SolarPV,76,0
SolarPV,77,0
SolarPV,78,0
SolarPV,79,0
SolarPV,80,0
SolarPV,81,0
SolarPV,82,0
SolarPV,83,0
SolarPV,84,0
SolarPV,85,0
SolarPV,86,0
SolarPV,87,0
SolarPV,88,0
SolarPV,89,0
SolarPV,90,0
SolarPV,91,0
SolarPV,92,0
SolarPV,93,0
SolarPV,94,0
SolarPV,95,0
SolarPV,96,0
SolarPV,97,0
SolarPV,98,0
SolarPV,99,0
SolarPV,100,0
SolarPV,101,0
SolarPV,102,0
SolarPV,103,0
SolarPV,104,0
SolarPV,105,0
SolarPV,106,0
SolarPV,107,6
SolarPV,108,11
SolarPV,109,0
SolarPV,110,0
SolarPV,111,0
SolarPV,112,0
SolarPV,113,0
SolarPV,114,0
SolarPV,115,0
SolarPV,116,0
SolarPV,117,0
SolarPV,118,0
SolarPV,119,0
SolarPV,120,0
SolarPV,121,0
SolarPV,122,0
SolarPV,123,0
SolarPV,124,0
SolarPV,125,0
SolarPV,126,0
SolarPV,127,0
SolarPV,128,0
SolarPV,129,0
SolarPV,130,10
SolarPV,131,25
SolarPV,132,30
SolarPV,133,25
SolarPV,134,6
SolarPV,135,0
SolarPV,136,0
SolarPV,137,0
SolarPV,138,0
SolarPV,139,0
SolarPV,140,0
SolarPV,141,0
SolarPV,142,0
SolarPV,143,0
SolarPV,144,0
SolarPV,145,0
SolarPV,146,0
SolarPV,147,0
SolarPV,148,0
SolarPV,149,0
SolarPV,150,0
SolarPV,151,0
SolarPV,152,0
SolarPV,153,0
SolarPV,154,0
SolarPV,155,3
SolarPV,156,0
SolarPV,157,0
SolarPV,158,0
SolarPV,159,0
SolarPV,160,0
SolarPV,161,0
SolarPV,162,0
SolarPV,163,0
SolarPV,164,0
SolarPV,165,0
SolarPV,166,0
SolarPV,167,0
SolarPV,168,0
SolarPV,169,0
SolarPV,170,0
SolarPV,171,0
SolarPV,172,0
SolarPV,173,0
SolarPV,174,0
SolarPV,175,0
SolarPV,176,0
SolarPV,177,0
SolarPV,178,1
SolarPV,179,11
SolarPV,180,7
SolarPV,181,3
SolarPV,182,6
SolarPV,183,0
SolarPV,184,0
SolarPV,185,0
SolarPV,186,0
SolarPV,187,0
SolarPV,188,0
SolarPV,189,0
SolarPV,190,0
SolarPV,191,0
SolarPV,192,0
SolarPV,193,0
SolarPV,194,0
SolarPV,195,0
SolarPV,196,0
