technology,hour,value
Temperature,0,13.0
Temperature,1,12.5
Temperature,2,12.4
Temperature,3,7.4
Temperature,4,5.4
Temperature,5,4.9
Temperature,6,3.8
Temperature,7,6.5
Temperature,8,4.9
Temperature,9,7.5
Temperature,10,12.5
Temperature,11,13.8
Temperature,12,14.9
Temperature,13,15.1
Temperature,14,14.9
Temperature,15,14.4
Temperature,16,14.0
Temperature,17,13.8
Temperature,18,11.5
Temperature,19,8.2
Temperature,20,11.2
Temperature,21,11.4
Temperature,22,12.1
Temperature,23,12.1
Temperature,24,12.5
Temperature,25,12.2
Temperature,26,11.8
Temperature,27,11.6
Temperature,28,11.5
Temperature,29,11.6
Temperature,30,11.5
Temperature,31,11.5
Temperature,32,10.8
Temperature,33,11.6
Temperature,34,11.3
Temperature,35,12.4
Temperature,36,13.3
Temperature,37,14.3
Temperature,38,15.0
Temperature,39,13.9
Temperature,40,13.8
Temperature,41,13.1
Temperature,42,13.1
Temperature,43,12.8
Temperature,44,10.5
Temperature,45,9.8
Temperature,46,9.4
Temperature,47,9.2
Temperature,48,8.7
Temperature,49,6.4
Temperature,50,4.1
Temperature,51,4.5
Temperature,52,5.0
Temperature,53,4.4
Temperature,54,3.0
Temperature,55,1.9
Temperature,56,2.0
Temperature,57,3.7
Temperature,58,4.7
Temperature,59,7.6
Temperature,60,8.7
Temperature,61,8.9
Temperature,62,8.3
Temperature,63,8.3
Temperature,64,5.8
Temperature,65,4.8
Temperature,66,2.7
Temperature,67,4.3
Temperature,68,4.6
Temperature,69,4.4
Temperature,70,2.4
Temperature,71,1.9
Temperature,72,1.7
Temperature,73,0.1
Temperature,74,2.7
Temperature,75,2.2
Temperature,76,2.5
Temperature,77,2.2
Temperature,78,2.9
Temperature,79,3.4
Temperature,80,4.2
Temperature,81,5.2
Temperature,82,5.8
Temperature,83,6.4
Temperature,84,7.6
Temperature,85,8.9
Temperature,86,9.2
Temperature,87,9.3
Temperature,88,8.7
Temperature,89,8.8
Temperature,90,9.4
Temperature,91,9.9
Temperature,92,10.0
Temperature,93,10.1
Temperature,94,10.0
Temperature,95,11.0
Temperature,96,10.0
Temperature,97,10.2
Temperature,98,10.6
Temperature,99,10.3
Temperature,100,10.1
Temperature,101,10.2
Temperature,102,10.0
Temperature,103,9.7
Temperature,104,9.9
Temperature,105,9.3
Temperature,106,10.0
Temperature,107,10.5
Temperature,108,10.9
Temperature,109,11.2
Temperature,110,11.2
Temperature,111,10.4
Temperature,112,9.9
Temperature,113,9.5
Temperature,114,8.8
Temperature,115,8.4
Temperature,116,5.2
Temperature,117,5.6
Temperature,118,6.1
Temperature,119,6.9
Temperature,120,7.2
Temperature,121,7.9
Temperature,122,8.1
Temperature,123,8.4
Temperature,124,9.0
Temperature,125,8.8
Temperature,126,9.1
Temperature,127,9.4
Temperature,128,9.6
Temperature,129,9.9
Temperature,130,10.3
