Hour,fuels,value
1,Power,348.5044834349855
2,Power,70.87261295631882
3,Power,212.04251850879984
4,Power,32.767483688318805
5,Power,0.0
6,Power,0.0
7,Power,0.0
8,Power,0.0
9,Power,0.0
10,Power,0.0
11,Power,0.0
12,Power,0.0
13,Power,0.0
14,Power,0.0
15,Power,0.0
16,Power,0.0
17,Power,0.0
18,Power,0.0
19,Power,0.0
20,Power,0.0
21,Power,0.0
22,Power,0.0
23,Power,0.0
24,Power,0.0
25,Power,0.0
26,Power,0.0
27,Power,0.0
28,Power,0.0
29,Power,0.0
30,Power,86.48210100667578
31,Power,141.59269584965216
32,Power,22.469757828287783
33,Power,0.0
34,Power,19.346085308318816
35,Power,103.11225380534246
36,Power,163.07959437165215
37,Power,194.20973001765216
38,Power,269.14141297698546
39,Power,163.78560823298548
40,Power,82.27568047698549
41,Power,144.6391515640091
42,Power,84.42341408734245
43,Power,175.8570266893333
44,Power,204.0822377393333
45,Power,123.20637889933333
46,Power,44.67226905866666
47,Power,270.359759516
48,Power,316.92044442765217
49,Power,377.5040348089855
50,Power,443.84512444231757
51,Power,266.6927188733333
52,Power,221.698438434
53,Power,245.503625248
54,Power,178.92252924733333
55,Power,230.99538642333331
56,Power,151.7853380673333
57,Power,153.72123695266666
58,Power,96.7956340729855
59,Power,224.22195385702722
60,Power,200.8798721044398
61,Power,102.9352837486818
62,Power,200.71947025910646
63,Power,260.55911733600914
64,Power,177.83779196334245
65,Power,120.28296575965217
66,Power,228.05023339698548
67,Power,209.01582205631883
68,Power,123.13671323134243
69,Power,106.97138173498553
70,Power,134.61205981134245
71,Power,104.75026823365215
72,Power,122.26086212200917
73,Power,127.35315871965211
74,Power,149.24649714667578
75,Power,110.22423680431883
76,Power,126.1937836953424
77,Power,170.58904378631883
78,Power,232.6610689383188
79,Power,160.0233683306758
80,Power,181.57644239231882
81,Power,176.47306905334244
82,Power,208.21132625800914
83,Power,171.02779008867577
84,Power,196.03258018765214
85,Power,166.81429300698548
86,Power,396.80137859534244
87,Power,237.0692989209855
88,Power,176.36763820698548
89,Power,56.112153226985484
90,Power,56.15991995298549
91,Power,30.943550806009114
92,Power,72.3990933320091
93,Power,81.40754394965215
94,Power,243.23710378000914
95,Power,221.2501289166758
96,Power,184.1715616020091
97,Power,223.71525558431884
98,Power,199.34099604698548
99,Power,174.46489103031882
100,Power,140.2545583269855
101,Power,190.59458408965216
102,Power,176.3045390300091
103,Power,271.2684270836521
104,Power,64.6831650020091
105,Power,156.87999350267577
106,Power,211.01448616134243
107,Power,322.5627824260684
108,Power,465.95078487800674
109,Power,331.4840368393425
110,Power,245.8739646329855
111,Power,278.0136883643188
112,Power,259.87446093000915
113,Power,189.02666590831882
114,Power,219.36068945431882
115,Power,209.67268248498547
116,Power,322.65549258286046
117,Power,239.57339502031888
118,Power,264.0148818800091
119,Power,160.74783940134247
120,Power,158.37247670165215
121,Power,150.8063353889855
122,Power,189.07258401431883
123,Power,238.6456492746758
124,Power,39.43782029565213
125,Power,79.7569865129855
126,Power,70.24066541165213
127,Power,137.4356523766758
128,Power,176.66313257031882
129,Power,163.1419449503188
130,Power,138.07692786721904
131,Power,263.13232848067696
132,Power,301.29557019994854
133,Power,148.12188015170292
134,Power,0.0
135,Power,0.0
136,Power,0.0
137,Power,0.0
138,Power,0.0
139,Power,0.0
140,Power,0.0
141,Power,0.0
142,Power,0.0
143,Power,0.0
144,Power,42.32374628698548
145,Power,32.034439757342454
146,Power,55.517643376985475
147,Power,46.1593652703188
148,Power,82.80403194000911
149,Power,26.114186497342462
150,Power,124.42797669000909
151,Power,174.2905907129855
152,Power,221.8733756449855
153,Power,244.2131264823188
154,Power,215.46555788734244
155,Power,256.2723119843721
156,Power,180.80822290431885
157,Power,156.28758682631883
158,Power,178.0952890389855
159,Power,155.85284079165214
160,Power,119.33096231267582
161,Power,128.92761205765217
162,Power,124.1969371240091
163,Power,138.86511580231883
164,Power,77.05066728631881
165,Power,145.8148795789855
166,Power,223.4650101323188
167,Power,95.95344498134246
168,Power,61.9073079980091
169,Power,73.53244159534245
170,Power,101.38849243765212
171,Power,196.80574188934244
172,Power,109.95642785000908
173,Power,185.64622570000913
174,Power,205.70155746600912
175,Power,44.39635461480388
176,Power,0.0
177,Power,0.0
178,Power,89.73018872777315
179,Power,211.5818218049831
180,Power,166.55202598485607
181,Power,174.93870831570544
182,Power,90.72097101904477
183,Power,16.654605611342436
184,Power,44.145624312985476
185,Power,78.32752308734241
186,Power,140.6006401803188
187,Power,206.30057765765216
188,Power,207.8610851729855
189,Power,273.5789696289855
190,Power,327.6698235503189
191,Power,395.39967990400913
192,Power,453.0223229860091
193,Power,429.76321010134245
194,Power,383.9165392600091
195,Power,410.05947480565214
196,Power,359.78949712934246
197,Power,342.14032084267575
198,Power,259.2345431263188
199,Power,278.1604473363188
200,Power,184.98233695831883
201,Power,245.50931500200912
202,Power,302.04646060234097
203,Power,93.15163981698544
204,Power,70.22217639134243
205,Power,0.0
206,Power,0.0
207,Power,0.0
208,Power,0.0
209,Power,0.0
210,Power,0.0
211,Power,0.0
212,Power,0.0
213,Power,0.0
214,Power,0.0
215,Power,0.0
216,Power,0.0
217,Power,0.0
218,Power,0.0
219,Power,0.0
220,Power,0.0
221,Power,0.0
222,Power,0.0
223,Power,0.0
224,Power,0.0
225,Power,0.0
226,Power,0.0
227,Power,0.0
228,Power,0.0
229,Power,0.0
230,Power,0.0
231,Power,0.0
232,Power,0.0
233,Power,0.0
234,Power,0.0
235,Power,0.0
236,Power,0.0
237,Power,0.0
238,Power,0.0
239,Power,0.0
240,Power,0.0
241,Power,0.0
242,Power,0.0
243,Power,0.0
244,Power,0.0
245,Power,0.0
246,Power,0.0
247,Power,0.0
248,Power,0.0
249,Power,0.0
250,Power,0.0
251,Power,0.0
252,Power,0.0
253,Power,0.0
254,Power,0.0
255,Power,0.0
256,Power,0.0
257,Power,0.0
258,Power,0.0
259,Power,0.0
260,Power,0.0
261,Power,0.0
262,Power,0.0
263,Power,0.0
264,Power,0.0
265,Power,0.0
266,Power,0.0
267,Power,0.0
268,Power,0.0
269,Power,0.0
270,Power,0.0
271,Power,0.0
272,Power,0.0
273,Power,0.0
274,Power,0.0
275,Power,0.0
276,Power,0.0
277,Power,0.0
278,Power,0.0
279,Power,0.0
280,Power,0.0
281,Power,0.0
282,Power,0.0
283,Power,0.0
284,Power,0.0
285,Power,0.0
286,Power,0.0
287,Power,0.0
288,Power,0.0
289,Power,0.0
290,Power,0.0
291,Power,0.0
292,Power,0.0
293,Power,0.0
294,Power,0.0
295,Power,0.0
296,Power,0.0
297,Power,0.0
298,Power,0.0
299,Power,0.0
300,Power,0.0
301,Power,0.0
302,Power,0.0
303,Power,0.0
304,Power,0.0
305,Power,0.0
306,Power,0.0
307,Power,0.0
308,Power,0.0
309,Power,0.0
310,Power,0.0
311,Power,0.0
312,Power,0.0
313,Power,0.0
314,Power,0.0
315,Power,0.0
316,Power,0.0
317,Power,0.0
318,Power,0.0
319,Power,0.0
320,Power,0.0
321,Power,0.0
322,Power,0.0
323,Power,0.0
324,Power,0.0
325,Power,0.0
326,Power,0.0
327,Power,0.0
328,Power,0.0
329,Power,0.0
330,Power,0.0
331,Power,0.0
332,Power,0.0
333,Power,0.0
334,Power,0.0
335,Power,0.0
336,Power,0.0
337,Power,0.0
338,Power,0.0
339,Power,0.0
340,Power,0.0
341,Power,0.0
342,Power,0.0
343,Power,0.0
344,Power,0.0
345,Power,0.0
346,Power,0.0
347,Power,0.0
348,Power,0.0
349,Power,0.0
350,Power,0.0
351,Power,0.0
352,Power,0.0
353,Power,33.737609511497
354,Power,60.09932853533331
355,Power,106.30854486733338
356,Power,78.19302020365215
357,Power,96.91724268165217
358,Power,138.57374959733332
359,Power,124.09015090533335
360,Power,155.18621101600002
361,Power,64.49445687031883
362,Power,127.7018067049855
363,Power,96.94613868067577
364,Power,101.0098486666758
365,Power,148.4043873803188
366,Power,204.0165722606758
367,Power,165.53579602400913
368,Power,168.68675860134243
369,Power,182.95734314298548
370,Power,223.75358690765214
371,Power,254.30816316066662
372,Power,250.27663168134245
373,Power,52.49518984365213
374,Power,215.31631235666666
375,Power,160.61346431698547
376,Power,164.80985982266665
377,Power,260.7100837003188
378,Power,211.67960256734247
379,Power,136.58508977692694
380,Power,167.2233463946758
381,Power,156.23935818698547
382,Power,158.63430929533334
383,Power,214.06440068266667
384,Power,331.34137461298553
385,Power,296.2336271086757
386,Power,362.16885994000904
387,Power,328.22271843298546
388,Power,265.88178430498544
389,Power,281.9493512980091
390,Power,271.4417232040091
391,Power,236.44274926316757
392,Power,0.7419251220091212
393,Power,17.63378246698545
