Hour,Fuel,value
1,Power,21.312
1,Heat,87.552
1,Coal,0.0
1,Gas,0.0
1,H2,10.0
1,Mobility,12.18
2,Power,26.927999999999997
2,Heat,113.50800000000001
2,Coal,0.0
2,Gas,0.0
2,H2,10.0
2,Mobility,11.207999999999998
3,Power,36.684
3,Heat,104.508
3,Coal,0.0
3,Gas,0.0
3,H2,10.0
3,Mobility,10.728
4,Power,35.424
4,Heat,98.64
4,Coal,0.0
4,Gas,0.0
4,H2,10.0
4,Mobility,10.26
5,Power,36.827999999999996
5,Heat,72.828
5,Coal,0.0
5,Gas,0.0
5,H2,10.0
5,Mobility,11.688
6,Power,33.948
6,Heat,79.23599999999999
6,Coal,0.0
6,Gas,0.0
6,H2,10.0
6,Mobility,13.152
7,Power,39.132
7,Heat,93.168
7,Coal,0.0
7,Gas,0.0
7,H2,10.0
7,Mobility,17.16
8,Power,38.304
8,Heat,95.112
8,Coal,0.0
8,Gas,0.0
8,H2,10.0
8,Mobility,21.828000000000003
9,Power,40.967999999999996
9,Heat,94.24799999999999
9,Coal,0.0
9,Gas,0.0
9,H2,10.0
9,Mobility,24.492
10,Power,39.744
10,Heat,74.628
10,Coal,0.0
10,Gas,0.0
10,H2,10.0
10,Mobility,22.884
11,Power,36.036
11,Heat,57.74399999999999
11,Coal,0.0
11,Gas,0.0
11,H2,10.0
11,Mobility,16.644000000000002
12,Power,37.332
12,Heat,38.196
12,Coal,0.0
12,Gas,0.0
12,H2,10.0
12,Mobility,11.207999999999998
13,Power,34.272000000000006
13,Heat,32.364
13,Coal,0.0
13,Gas,0.0
13,H2,10.0
13,Mobility,7.032
14,Power,36.108000000000004
14,Heat,38.339999999999996
14,Coal,0.0
14,Gas,0.0
14,H2,10.0
14,Mobility,4.452
15,Power,32.760000000000005
15,Heat,38.196
15,Coal,0.0
15,Gas,0.0
15,H2,10.0
15,Mobility,2.8680000000000003
16,Power,32.292
16,Heat,44.46
16,Coal,0.0
16,Gas,0.0
16,H2,10.0
16,Mobility,1.476
17,Power,29.916
17,Heat,34.199999999999996
17,Coal,0.0
17,Gas,0.0
17,H2,10.0
