Technology,Hour,Fuel,value
Battery,53,Power,-0.0
PHS,1,Power,-0.0
H2Tank,27,H2,-0.0
Battery,4,Power,1.3562386833292435
Battery,30,Power,1.1996298848851326
Battery,32,Power,5.0779217869759306
H2Tank,30,H2,51.15912385194951
PHS,47,Power,-0.0
PHS,31,Power,-0.0
Battery,59,Power,1.9740748295275836
Battery,102,Power,5.245726257055646
H2Tank,6,H2,63.233617909202536
PHS,71,Power,-0.0
H2Tank,64,H2,102.41343623924838
PHS,62,Power,-0.0
H2Tank,53,H2,94.69533073925
PHS,86,Power,-0.0
Battery,111,Power,5.241006991445175
PHS,3,Power,-0.0
H2Tank,66,H2,81.36080466030101
PHS,10,Power,-0.0
H2Tank,94,H2,86.42235134195751
H2Tank,99,H2,80.51915484566783
PHS,85,Power,-0.0
PHS,102,Power,-0.0
H2Tank,105,H2,76.35421071708004
Battery,85,Power,5.254652022739464
PHS,17,Power,-0.0
Battery,22,Power,-0.0
Battery,10,Power,-0.0
PHS,33,Power,-0.0
PHS,46,Power,-0.0
H2Tank,1,H2,73.75993369867622
PHS,35,Power,-0.0
Battery,86,Power,5.25412655753719
H2Tank,11,H2,36.50118712044803
PHS,67,Power,-0.0
Battery,112,Power,5.240482890746031
PHS,76,Power,-0.0
PHS,108,Power,-0.0
H2Tank,79,H2,138.57623784403785
H2Tank,39,H2,56.077346211071
Battery,35,Power,5.076398562772414
H2Tank,50,H2,22.6314339475
H2Tank,65,H2,91.8871204497747
H2Tank,8,H2,43.99800626482528
PHS,80,Power,-0.0
PHS,65,Power,-0.0
PHS,120,Power,-0.0
Battery,116,Power,5.238387011997745
H2Tank,75,H2,58.61529039253786
PHS,49,Power,-0.0
PHS,51,Power,-0.0
Battery,87,Power,5.253601144881436
H2Tank,89,H2,94.64505000787877
H2Tank,23,H2,2.757327109807161
Battery,27,Power,-0.0
PHS,79,Power,-0.0
H2Tank,92,H2,86.42235134195751
H2Tank,104,H2,76.35421071708004
H2Tank,18,H2,11.099789535403797
Battery,15,Power,-0.0
Battery,66,Power,1.972693391633543
H2Tank,67,H2,70.83448887082733
PHS,21,Power,-0.0
PHS,52,Power,-0.0
H2Tank,74,H2,35.45746977178786
H2Tank,3,H2,63.233617909202536
H2Tank,93,H2,86.42235134195751
Battery,65,Power,1.972890680701613
Battery,2,Power,1.3565099717584954
PHS,60,Power,-0.0
PHS,72,Power,-0.0
PHS,48,Power,-0.0
Battery,119,Power,5.2368156530405185
PHS,16,Power,0.0
Battery,88,Power,5.253075784766948
PHS,117,Power,-0.0
Battery,103,Power,5.245201684429941
Battery,47,Power,1.1915754401182397
PHS,53,Power,-0.0
PHS,58,Power,-0.0
H2Tank,83,H2,136.99355160787877
Battery,96,Power,5.248874794706221
PHS,7,Power,-0.0
H2Tank,118,H2,65.65018758167622
H2Tank,59,H2,144.63340890787876
H2Tank,115,H2,65.65018758167622
H2Tank,43,H2,32.025166403535835
PHS,45,Power,-0.0
H2Tank,84,H2,127.81611261840509
H2Tank,77,H2,107.22347130628785
PHS,78,Power,-0.0
Battery,7,Power,1.500468040489372
H2Tank,109,H2,68.23420905990444
