Hour,Technology,Fuel,value
1,SolarPV,Power,-0.0
2,SolarPV,Power,-0.0
3,SolarPV,Power,-0.0
4,SolarPV,Power,1.8231582
5,SolarPV,Power,13.5627354
6,SolarPV,Power,25.80705975
7,SolarPV,Power,18.96220335
8,SolarPV,Power,16.8753873
9,SolarPV,Power,-0.0
10,SolarPV,Power,-0.0
11,SolarPV,Power,-0.0
12,SolarPV,Power,-0.0
13,SolarPV,Power,-0.0
14,SolarPV,Power,-0.0
15,SolarPV,Power,-0.0
16,SolarPV,Power,-0.0
17,SolarPV,Power,-0.0
18,SolarPV,Power,-0.0
19,SolarPV,Power,-0.0
20,SolarPV,Power,-0.0
21,SolarPV,Power,-0.0
22,SolarPV,Power,-0.0
23,SolarPV,Power,-0.0
24,SolarPV,Power,-0.0
25,SolarPV,Power,-0.0
26,SolarPV,Power,14.2578597
27,SolarPV,Power,42.1307052
28,SolarPV,Power,64.75991895
29,SolarPV,Power,72.02725305
30,SolarPV,Power,75.1825953
31,SolarPV,Power,66.3805176
32,SolarPV,Power,58.59406665
33,SolarPV,Power,34.81137555
34,SolarPV,Power,20.81242785
35,SolarPV,Power,2.1612093
36,SolarPV,Power,-0.0
37,SolarPV,Power,-0.0
38,SolarPV,Power,-0.0
39,SolarPV,Power,-0.0
40,SolarPV,Power,-0.0
41,SolarPV,Power,-0.0
42,SolarPV,Power,-0.0
43,SolarPV,Power,-0.0
44,SolarPV,Power,-0.0
45,SolarPV,Power,-0.0
46,SolarPV,Power,-0.0
47,SolarPV,Power,-0.0
48,SolarPV,Power,-0.0
49,SolarPV,Power,24.1338075
50,SolarPV,Power,40.3703031
51,SolarPV,Power,63.57844365
52,SolarPV,Power,76.0942044
53,SolarPV,Power,86.586015
54,SolarPV,Power,82.0373934
55,SolarPV,Power,79.6637259
56,SolarPV,Power,66.3265977
57,SolarPV,Power,57.6474435
58,SolarPV,Power,38.192486699999996
59,SolarPV,Power,24.28746615
60,SolarPV,Power,-0.0
61,SolarPV,Power,-0.0
62,SolarPV,Power,-0.0
63,SolarPV,Power,-0.0
64,SolarPV,Power,-0.0
65,SolarPV,Power,-0.0
66,SolarPV,Power,-0.0
67,SolarPV,Power,-0.0
68,SolarPV,Power,-0.0
69,SolarPV,Power,-0.0
70,SolarPV,Power,-0.0
71,SolarPV,Power,-0.0
72,SolarPV,Power,0.9275851500000001
73,SolarPV,Power,27.739222950000002
74,SolarPV,Power,51.15284505
75,SolarPV,Power,69.83193045
76,SolarPV,Power,78.90245235
77,SolarPV,Power,75.4134723
78,SolarPV,Power,73.0182705
79,SolarPV,Power,64.86382005
80,SolarPV,Power,56.21538614999999
81,SolarPV,Power,44.4800739
82,SolarPV,Power,24.78287595
83,SolarPV,Power,4.9701543
84,SolarPV,Power,-0.0
85,SolarPV,Power,-0.0
86,SolarPV,Power,-0.0
87,SolarPV,Power,-0.0
88,SolarPV,Power,-0.0
89,SolarPV,Power,-0.0
90,SolarPV,Power,-0.0
91,SolarPV,Power,-0.0
92,SolarPV,Power,-0.0
93,SolarPV,Power,-0.0
94,SolarPV,Power,-0.0
95,SolarPV,Power,-0.0
96,SolarPV,Power,-0.0
97,SolarPV,Power,-0.0
98,SolarPV,Power,-0.0
99,SolarPV,Power,23.20698105
100,SolarPV,Power,28.36436685
101,SolarPV,Power,24.343170450000002
102,SolarPV,Power,15.15312645
103,SolarPV,Power,12.71571645
104,SolarPV,Power,13.6070076
105,SolarPV,Power,-0.0
106,SolarPV,Power,-0.0
107,SolarPV,Power,-0.0
108,SolarPV,Power,-0.0
109,SolarPV,Power,-0.0
110,SolarPV,Power,-0.0
111,SolarPV,Power,-0.0
112,SolarPV,Power,-0.0
113,SolarPV,Power,-0.0
114,SolarPV,Power,-0.0
115,SolarPV,Power,-0.0
116,SolarPV,Power,-0.0
117,SolarPV,Power,-0.0
118,SolarPV,Power,-0.0
119,SolarPV,Power,-0.0
120,SolarPV,Power,-0.0
1,CoalMine,Power,-0.0
2,CoalMine,Power,-0.0
3,CoalMine,Power,-0.0
4,CoalMine,Power,-0.0
5,CoalMine,Power,-0.0
6,CoalMine,Power,-0.0
7,CoalMine,Power,-0.0
8,CoalMine,Power,-0.0
9,CoalMine,Power,-0.0
10,CoalMine,Power,-0.0
11,CoalMine,Power,-0.0
12,CoalMine,Power,-0.0
13,CoalMine,Power,-0.0
14,CoalMine,Power,-0.0
15,CoalMine,Power,-0.0
16,CoalMine,Power,-0.0
17,CoalMine,Power,-0.0
18,CoalMine,Power,-0.0
19,CoalMine,Power,-0.0
20,CoalMine,Power,-0.0
21,CoalMine,Power,-0.0
22,CoalMine,Power,-0.0
23,CoalMine,Power,-0.0
24,CoalMine,Power,-0.0
25,CoalMine,Power,-0.0
26,CoalMine,Power,-0.0
27,CoalMine,Power,-0.0
28,CoalMine,Power,-0.0
29,CoalMine,Power,-0.0
30,CoalMine,Power,-0.0
31,CoalMine,Power,0.0
32,CoalMine,Power,-0.0
33,CoalMine,Power,-0.0
34,CoalMine,Power,-0.0
35,CoalMine,Power,-0.0
36,CoalMine,Power,-0.0
37,CoalMine,Power,-0.0
38,CoalMine,Power,-0.0
39,CoalMine,Power,-0.0
40,CoalMine,Power,-0.0
41,CoalMine,Power,-0.0
42,CoalMine,Power,-0.0
43,CoalMine,Power,-0.0
44,CoalMine,Power,-0.0
45,CoalMine,Power,-0.0
46,CoalMine,Power,-0.0
47,CoalMine,Power,-0.0
48,CoalMine,Power,-0.0
49,CoalMine,Power,-0.0
50,CoalMine,Power,-0.0
51,CoalMine,Power,-0.0
52,CoalMine,Power,-0.0
53,CoalMine,Power,-0.0
54,CoalMine,Power,-0.0
55,CoalMine,Power,-0.0
56,CoalMine,Power,-0.0
57,CoalMine,Power,-0.0
58,CoalMine,Power,-0.0
59,CoalMine,Power,-0.0
60,CoalMine,Power,-0.0
61,CoalMine,Power,-0.0
62,CoalMine,Power,-0.0
63,CoalMine,Power,-0.0
64,CoalMine,Power,-0.0
65,CoalMine,Power,-0.0
66,CoalMine,Power,-0.0
67,CoalMine,Power,-0.0
68,CoalMine,Power,-0.0
69,CoalMine,Power,-0.0
70,CoalMine,Power,-0.0
71,CoalMine,Power,-0.0
72,CoalMine,Power,-0.0
73,CoalMine,Power,-0.0
74,CoalMine,Power,-0.0
75,CoalMine,Power,-0.0
76,CoalMine,Power,-0.0
77,CoalMine,Power,-0.0
78,CoalMine,Power,-0.0
79,CoalMine,Power,-0.0
80,CoalMine,Power,-0.0
81,CoalMine,Power,-0.0
82,CoalMine,Power,-0.0
83,CoalMine,Power,-0.0
84,CoalMine,Power,-0.0
85,CoalMine,Power,-0.0
86,CoalMine,Power,-0.0
87,CoalMine,Power,-0.0
88,CoalMine,Power,-0.0
89,CoalMine,Power,-0.0
90,CoalMine,Power,-0.0
91,CoalMine,Power,-0.0
92,CoalMine,Power,-0.0
93,CoalMine,Power,-0.0
94,CoalMine,Power,-0.0
95,CoalMine,Power,-0.0
96,CoalMine,Power,-0.0
97,CoalMine,Power,-0.0
98,CoalMine,Power,-0.0
99,CoalMine,Power,-0.0
100,CoalMine,Power,-0.0
101,CoalMine,Power,-0.0
102,CoalMine,Power,-0.0
103,CoalMine,Power,-0.0
104,CoalMine,Power,-0.0
105,CoalMine,Power,-0.0
106,CoalMine,Power,-0.0
107,CoalMine,Power,-0.0
108,CoalMine,Power,-0.0
109,CoalMine,Power,-0.0
110,CoalMine,Power,-0.0
111,CoalMine,Power,-0.0
112,CoalMine,Power,-0.0
113,CoalMine,Power,-0.0
114,CoalMine,Power,-0.0
115,CoalMine,Power,-0.0
116,CoalMine,Power,-0.0
117,CoalMine,Power,-0.0
118,CoalMine,Power,-0.0
119,CoalMine,Power,-0.0
120,CoalMine,Power,-0.0
1,GasExtractor,Power,-0.0
2,GasExtractor,Power,-0.0
3,GasExtractor,Power,-0.0
4,GasExtractor,Power,-0.0
5,GasExtractor,Power,-0.0
6,GasExtractor,Power,-0.0
7,GasExtractor,Power,-0.0
8,GasExtractor,Power,-0.0
9,GasExtractor,Power,-0.0
10,GasExtractor,Power,-0.0
11,GasExtractor,Power,-0.0
12,GasExtractor,Power,-0.0
13,GasExtractor,Power,-0.0
14,GasExtractor,Power,-0.0
15,GasExtractor,Power,-0.0
16,GasExtractor,Power,-0.0
17,GasExtractor,Power,-0.0
18,GasExtractor,Power,-0.0
19,GasExtractor,Power,-0.0
20,GasExtractor,Power,-0.0
21,GasExtractor,Power,-0.0
22,GasExtractor,Power,-0.0
23,GasExtractor,Power,-0.0
24,GasExtractor,Power,-0.0
25,GasExtractor,Power,-0.0
26,GasExtractor,Power,-0.0
27,GasExtractor,Power,-0.0
28,GasExtractor,Power,-0.0
29,GasExtractor,Power,-0.0
30,GasExtractor,Power,-0.0
31,GasExtractor,Power,0.0
32,GasExtractor,Power,-0.0
33,GasExtractor,Power,-0.0
34,GasExtractor,Power,-0.0
35,GasExtractor,Power,-0.0
36,GasExtractor,Power,-0.0
37,GasExtractor,Power,-0.0
38,GasExtractor,Power,-0.0
39,GasExtractor,Power,-0.0
40,GasExtractor,Power,-0.0
41,GasExtractor,Power,-0.0
42,GasExtractor,Power,-0.0
43,GasExtractor,Power,-0.0
44,GasExtractor,Power,-0.0
45,GasExtractor,Power,-0.0
46,GasExtractor,Power,-0.0
47,GasExtractor,Power,-0.0
48,GasExtractor,Power,-0.0
49,GasExtractor,Power,-0.0
50,GasExtractor,Power,-0.0
51,GasExtractor,Power,-0.0
52,GasExtractor,Power,-0.0
53,GasExtractor,Power,-0.0
54,GasExtractor,Power,-0.0
55,GasExtractor,Power,-0.0
56,GasExtractor,Power,-0.0
57,GasExtractor,Power,-0.0
58,GasExtractor,Power,-0.0
59,GasExtractor,Power,-0.0
60,GasExtractor,Power,-0.0
61,GasExtractor,Power,-0.0
62,GasExtractor,Power,-0.0
63,GasExtractor,Power,-0.0
64,GasExtractor,Power,-0.0
65,GasExtractor,Power,-0.0
66,GasExtractor,Power,-0.0
67,GasExtractor,Power,-0.0
68,GasExtractor,Power,-0.0
69,GasExtractor,Power,-0.0
70,GasExtractor,Power,-0.0
71,GasExtractor,Power,-0.0
72,GasExtractor,Power,-0.0
73,GasExtractor,Power,-0.0
74,GasExtractor,Power,-0.0
75,GasExtractor,Power,-0.0
76,GasExtractor,Power,-0.0
77,GasExtractor,Power,-0.0
78,GasExtractor,Power,-0.0
79,GasExtractor,Power,-0.0
80,GasExtractor,Power,-0.0
81,GasExtractor,Power,-0.0
82,GasExtractor,Power,-0.0
83,GasExtractor,Power,-0.0
84,GasExtractor,Power,-0.0
85,GasExtractor,Power,-0.0
86,GasExtractor,Power,-0.0
87,GasExtractor,Power,-0.0
88,GasExtractor,Power,-0.0
89,GasExtractor,Power,-0.0
90,GasExtractor,Power,-0.0
91,GasExtractor,Power,-0.0
92,GasExtractor,Power,-0.0
93,GasExtractor,Power,-0.0
94,GasExtractor,Power,-0.0
95,GasExtractor,Power,-0.0
96,GasExtractor,Power,-0.0
97,GasExtractor,Power,-0.0
98,GasExtractor,Power,-0.0
99,GasExtractor,Power,-0.0
100,GasExtractor,Power,-0.0
101,GasExtractor,Power,-0.0
102,GasExtractor,Power,-0.0
103,GasExtractor,Power,-0.0
104,GasExtractor,Power,-0.0
105,GasExtractor,Power,-0.0
106,GasExtractor,Power,-0.0
107,GasExtractor,Power,-0.0
108,GasExtractor,Power,-0.0
109,GasExtractor,Power,-0.0
110,GasExtractor,Power,-0.0
111,GasExtractor,Power,-0.0
112,GasExtractor,Power,-0.0
113,GasExtractor,Power,-0.0
114,GasExtractor,Power,-0.0
115,GasExtractor,Power,-0.0
116,GasExtractor,Power,-0.0
117,GasExtractor,Power,-0.0
118,GasExtractor,Power,-0.0
119,GasExtractor,Power,-0.0
120,GasExtractor,Power,-0.0
1,CoalPowerPlant,Power,0.0
2,CoalPowerPlant,Power,20.728823445683194
3,CoalPowerPlant,Power,17.715559359999986
4,CoalPowerPlant,Power,1.76480927999999
5,CoalPowerPlant,Power,0.0
6,CoalPowerPlant,Power,0.0
7,CoalPowerPlant,Power,20.728823445683194
8,CoalPowerPlant,Power,20.728823445683194
9,CoalPowerPlant,Power,20.728823445683194
10,CoalPowerPlant,Power,3.3773509399999853
11,CoalPowerPlant,Power,0.0
12,CoalPowerPlant,Power,20.728823445683194
13,CoalPowerPlant,Power,20.728823445683194
14,CoalPowerPlant,Power,20.728823445683194
15,CoalPowerPlant,Power,20.728823445683194
16,CoalPowerPlant,Power,20.728823445683194
17,CoalPowerPlant,Power,11.968748479999997
18,CoalPowerPlant,Power,15.933560699999997
19,CoalPowerPlant,Power,20.728823445683194
20,CoalPowerPlant,Power,7.563980980000004
21,CoalPowerPlant,Power,12.919194160000004
22,CoalPowerPlant,Power,3.791726620000002
23,CoalPowerPlant,Power,20.728823445683194
24,CoalPowerPlant,Power,20.728823445683194
25,CoalPowerPlant,Power,20.728823445683194
