Technology,Hour,Fuel,value
PHS,358,Power,-0.0
Battery,4925,Power,0.0
H2Tank,5225,H2,6.170407283317084e-6
PHS,1607,Power,72.08796755674872
Battery,8210,Power,0.0
H2Tank,5421,H2,4.628819429718555e-6
PHS,3296,Power,44.94004498500001
PHS,8234,Power,-0.0
PHS,8097,Power,198.26305396084422
H2Tank,8565,H2,2.0453864314290696e-6
H2Tank,384,H2,5.720740206681108e-6
PHS,158,Power,584.7501557489512
Battery,7516,Power,60.89091291874632
H2Tank,8655,H2,2.505391803440881e-6
PHS,958,Power,74.850149925015
Battery,7708,Power,999.0
Battery,7313,Power,61.13439667133568
Battery,428,Power,33.84300709032851
PHS,3696,Power,0.0
Battery,8413,Power,0.0
H2Tank,5566,H2,2.851332400299721e-6
PHS,6098,Power,0.0
H2Tank,2185,H2,4.15086446979661e-6
H2Tank,7981,H2,6.276846629062592e-6
H2Tank,1075,H2,6.010062626348314e-6
Battery,6212,Power,680.7999938103721
PHS,3790,Power,13.9844878520625
H2Tank,5026,H2,5.927033942632573e-6
Battery,777,Power,159.598057982582
Battery,6036,Power,0.0
Battery,2696,Power,485.9787743220697
PHS,7624,Power,1036.9843567939506
PHS,3174,Power,0.0
H2Tank,5958,H2,1.2009782716258844e-6
PHS,8301,Power,96.14906450948672
H2Tank,4709,H2,7.963682372732967e-7
Battery,2596,Power,0.0
PHS,1271,Power,344.918678537135
Battery,3135,Power,869.5062555872146
Battery,8160,Power,0.0
PHS,1207,Power,0.0
PHS,4019,Power,85.23729963202535
H2Tank,5512,H2,3.669110932044075e-6
H2Tank,6100,H2,-0.0
H2Tank,50,H2,5.077139262337956e-6
H2Tank,6871,H2,7.908786066697764e-6
Battery,6845,Power,0.0
H2Tank,3167,H2,1.974358539378281e-6
PHS,4738,Power,0.0
Battery,2436,Power,86.49040120698238
Battery,4743,Power,240.40857945645587
Battery,7346,Power,65.68913355531122
PHS,2364,Power,149.02829258686617
Battery,6580,Power,95.93429338419014
Battery,3555,Power,0.0
Battery,3995,Power,-0.0
PHS,4992,Power,98.33402098286687
H2Tank,4071,H2,4.708326618318588e-6
Battery,1276,Power,228.74064893598023
H2Tank,1326,H2,6.977771180570289e-6
PHS,2724,Power,817.5046799221508
H2Tank,1092,H2,6.158940865459387e-6
PHS,5874,Power,-0.0
H2Tank,6708,H2,6.146359048305708e-6
PHS,79,Power,0.0
PHS,1481,Power,1174.1632525056823
PHS,5758,Power,164.04440050461858
H2Tank,6490,H2,4.098757368845175e-6
PHS,3399,Power,49.08474344645984
PHS,2331,Power,0.0
H2Tank,3233,H2,2.8619944300719713e-6
H2Tank,3731,H2,6.569942180188594e-6
Battery,166,Power,0.0
PHS,7001,Power,364.4956077492207
PHS,4364,Power,19.627470607862765
H2Tank,4747,H2,1.4663203132731253e-6
H2Tank,4499,H2,2.765323663712088e-6
H2Tank,5846,H2,8.89325247041866e-7
H2Tank,5643,H2,1.8603008326618434e-6
H2Tank,6073,H2,2.2921384848099312e-7
H2Tank,1340,H2,7.16386897945913e-6
Battery,7839,Power,487.95005547426007
PHS,7352,Power,359.1492397045365
PHS,5233,Power,0.0
Battery,2994,Power,19.536985103437853
PHS,7394,Power,84.48818290679196
H2Tank,2283,H2,4.752799807738563e-6
Battery,3134,Power,737.4459512359437
PHS,582,Power,-0.0
Battery,6650,Power,0.0
Battery,5349,Power,28.29184653120553
H2Tank,5398,H2,4.7586934701782844e-6
Battery,1192,Power,0.0
H2Tank,1446,H2,6.650915362540114e-6
PHS,6611,Power,74.850149925015
H2Tank,3415,H2,4.464013175565834e-6
PHS,1889,Power,506.01421389389685
H2Tank,7219,H2,6.900152678230613e-6
PHS,6135,Power,429.80990716957456
Battery,3108,Power,128.4448264690028
PHS,4875,Power,22.319930695960274
H2Tank,5128,H2,6.529495172257805e-6
Battery,2733,Power,533.4656390602612
H2Tank,4614,H2,1.638258619958456e-6
H2Tank,2790,H2,3.531006404003615e-6
Battery,7284,Power,730.5372937365673
Battery,658,Power,-0.0
PHS,6796,Power,29.925059985000004
Battery,7988,Power,830.5264070167003
PHS,7913,Power,1737.2498643301374
H2Tank,1382,H2,8.206016653236642e-6
H2Tank,1962,H2,2.4559282977791497e-6
Battery,74,Power,0.0
PHS,412,Power,160.1914204980029
H2Tank,5284,H2,5.885758513931899e-6
H2Tank,82,H2,5.251181135756394e-6
H2Tank,5556,H2,3.0310078176909033e-6
H2Tank,6916,H2,7.797653279047728e-6
PHS,7169,Power,120.32193432993192
H2Tank,988,H2,6.057623308876559e-6
Battery,8696,Power,0.0
Battery,8472,Power,0.0
H2Tank,2464,H2,5.640698644273898e-6
Battery,7981,Power,856.1081957012532
Battery,594,Power,0.0
Battery,5300,Power,-0.0
H2Tank,3721,H2,6.464442936511311e-6
Battery,8525,Power,0.0
PHS,8241,Power,-0.0
Battery,3023,Power,451.3202454691948
PHS,5642,Power,70.7848722969677
PHS,4892,Power,30.41846119484009
PHS,2613,Power,0.0
Battery,7897,Power,0.0
H2Tank,1684,H2,4.022893252470411e-6
H2Tank,3589,H2,5.662776199160276e-6
Battery,5438,Power,182.99267421660943
Battery,6235,Power,413.7031192651437
H2Tank,5727,H2,1.6254534402081048e-6
Battery,4741,Power,0.0
Battery,1467,Power,532.2859404825975
PHS,7802,Power,179.4474809379172
Battery,7918,Power,0.0
PHS,2391,Power,128.8252298530552
Battery,6266,Power,-0.0
PHS,7801,Power,199.25457865382594
PHS,4318,Power,71.13229413310802
Battery,2137,Power,0.0
Battery,5859,Power,55.560013485398315
PHS,3426,Power,0.0
Battery,1768,Power,29.443861460423307
PHS,7559,Power,623.1578418145044
H2Tank,2606,H2,4.953582990514202e-6
H2Tank,5740,H2,1.7309526838853879e-6
Battery,623,Power,0.0
Battery,1974,Power,-0.0
Battery,3812,Power,0.0
PHS,868,Power,0.0
PHS,1689,Power,830.3130838424183
H2Tank,6945,H2,7.531482816630601e-6
PHS,3628,Power,0.0
Battery,3160,Power,731.9759058117219
PHS,4097,Power,0.0
Battery,6864,Power,290.94123014851687
H2Tank,1106,H2,6.30781910457046e-6
H2Tank,7175,H2,6.837506538303841e-6
PHS,735,Power,0.0
PHS,3602,Power,0.0
Battery,4444,Power,-0.0
Battery,548,Power,0.0
H2Tank,2986,H2,3.2053451517593757e-6
H2Tank,2575,H2,5.182796838995194e-6
PHS,6280,Power,0.0
Battery,6342,Power,-0.0
PHS,8505,Power,-0.0
Battery,5026,Power,-0.0
H2Tank,6970,H2,7.35207034508106e-6
PHS,2703,Power,698.4882876165964
Battery,8080,Power,0.0
Battery,5910,Power,0.0
H2Tank,3708,H2,6.2906640089345125e-6
PHS,8413,Power,0.0
H2Tank,7592,H2,7.153270565616332e-6
Battery,5386,Power,0.0
H2Tank,1072,H2,5.89840394701501e-6
PHS,8545,Power,0.0
H2Tank,5715,H2,1.6254534402081048e-6
PHS,1773,Power,0.0
PHS,1461,Power,1269.0252367531264
Battery,8013,Power,753.887862581704
PHS,1292,Power,385.5919258009221
H2Tank,5951,H2,1.504631239662414e-6
Battery,4077,Power,290.7474356256203
PHS,696,Power,0.0
PHS,2744,Power,678.474638239674
H2Tank,6484,H2,4.098757368845175e-6
Battery,1997,Power,16.20535368511698
H2Tank,7042,H2,8.274922600619177e-6
H2Tank,900,H2,6.404129380663598e-6
PHS,1535,Power,789.6811931652388
Battery,4634,Power,0.0
H2Tank,5360,H2,5.105462487806963e-6
H2Tank,5413,H2,4.771275287331967e-6
PHS,479,Power,221.36552502810417
PHS,3869,Power,38.083578217693045
H2Tank,127,H2,6.218889689978369e-6
H2Tank,147,H2,6.777183086644893e-6
Battery,1853,Power,703.5154104522201
PHS,4161,Power,0.0
PHS,1131,Power,0.0
H2Tank,6812,H2,7.889518922204794e-6
H2Tank,2261,H2,4.721739683616816e-6
Battery,4154,Power,0.0
Battery,6167,Power,463.41751596060317
Battery,8177,Power,0.0
PHS,3932,Power,177.92902988591322
Battery,5852,Power,0.0
PHS,924,Power,282.0114361265948
